# no	arxiv	source	title per Semantic Scholar	entry
1	2604.11962	id		[1] Thomas Walker, Ahmed Imtiaz Humayun, Randall Balestriero, and Richard Baraniuk. *The Linear Centroids Hypothesis: Ho
2	2602.18523	id		[2] Yongzhong Xu. *The Geometry of Multi-Task Grokking: Transverse Instability, Superposition, and Weight Decay Phase St
3	2603.28964	id		[3] Yongzhong Xu. *The Spectral Edge Thesis: A Mathematical Framework for Intra-Signal Phase Transitions in Neural Netwo
4	2311.03658	s2	The Linear Representation Hypothesis and the Geometry of Large Language Models	[4] Kiho Park, Yo Joong Choe, and Victor Veitch. *The Linear Representation Hypothesis and the Geometry of Large Languag
5	2201.02177	id		[5] Alethea Power, Yuri Burda, Harrison Edwards, Igor Babuschkin, and Vedant Misra. *Grokking: Generalization beyond ove
6	2301.05217	s2	Progress measures for grokking via mechanistic interpretability	[6] Neel Nanda, Lawrence Chan, Tom Lieberum, Jess Smith, and Jacob Steinhardt. *Progress measures for grokking via mecha
7	2210.01117	id		[7] Ziming Liu, Eric J. Michaud, and Max Tegmark. *Omnigrok: Grokking Beyond Algorithmic Data.* arXiv preprint arXiv:221
8	2103.00065	s2	Gradient Descent on Neural Networks Typically Occurs at the Edge of Stability	[8] Jeremy Cohen, Simran Kaur, Yuanzhi Li, J. Zico Kolter, and Ameet Talwalkar. *Gradient descent on neural networks typ
9	2509.21519	id		[9] Yuandong Tian. *Provable Scaling Laws of Feature Emergence from Learning Dynamics of Grokking.* arXiv preprint arXiv
10		s2	Decoupled Weight Decay Regularization	[10] Ilya Loshchilov and Frank Hutter. *Decoupled Weight Decay Regularization.* In International Conference on Learning 
